Count,F. Name,L. Name,ID,Inst,Pos,Team,Num,Salary,Contract,Rookie,Birthdate,Birthplace,State,Citizenship,Draft Year,Draft Pos,Photo,Pbp,Def. Pbp,Skin,Tuck,Free4All,Visor,Helmet,Stick,Skates
1,Leonid,Metalnikov,4986,4074,D,FRL,7,200000,0,No,25.04.1990,????-???????????,Kazakstan,Kazakstan,0,0,10667,0,0,White,Not Tucked In,No,Yes,Nike,Bauer Vapor XX,Bauer 8090
2,Colby,Williams,6198,5533,D,FRL,25,0,0,No,26.01.1995,"",Saskatchewan,Canada,0,0,0,0,0,Pale,Not Tucked In,No,Yes,CCM,Sher-Wood Solid Gold,Bauer Vapor XXX
3,Evgeny,Lisovets,1932,3255,D,FRL,41,200000,0,No,12.11.1994,??????,Belarus,Belarus,0,0,14702,0,0,White,Not Tucked In,No,Yes,CCM,Easton Classic X,Bauer 8090
4,Dinar,Khamidullin,1039,1622,D,FRL,49,100000,0,No,02.12.1993,"",Russia,Russia,0,0,10671,0,0,Pale,Not Tucked In,No,Yes,Bauer,Easton Synergy,CCM
5,Yegor,Rykov,323,1422,D,FRL,57,100000,1,Yes,14.04.1997,??????,Russia,Russia,2016,132,10684,0,0,Pale,Not Tucked In,No,Yes,Bauer,Sher-Wood Solid Gold,Bauer Vapor XXX
6,Rinat,Valiyev,2545,4152,D,FRL,61,300000,0,No,11.05.1995,Nizhnekamsk,Russia,Russia,2014,68,13967,0,0,White,Not Tucked In,No,Yes,CCM,Sher-Wood Solid Gold,Bauer Vapor XXX
7,Yuri,Pautov,5714,849,D,FRL,69,300000,0,No,18.03.1995,?????????,Russia,Russia,0,0,13551,0,0,Pale,Not Tucked In,No,Yes,Jofa,TPS (Louisville) Red-lite,Easton
8,Libor,Sulak,5532,2640,D,FRL,73,0,0,No,04.03.1994,Pelhrimov,Czech Republic,Czech Republic,0,0,11067,0,0,White,Left Side,No,Yes,Bauer,Sher-Wood Solid Gold,Easton
9,Alexander S.,Rodionov,4637,3782,D,FRL*,2,200000,0,No,16.08.1995,???????????,Russia,Russia,0,0,13579,0,0,White,Not Tucked In,No,Yes,Jofa,Easton Classic X,Bauer Vapor XXX
10,Mikhail,Patrikeyev,3845,3057,D,FRL*,2,300000,0,Yes,14.11.1995,"",Russia,Russia,0,0,7003,0,0,Pale,Not Tucked In,No,Yes,Jofa,Sher-Wood Solid Gold,Easton
11,Nikolai,Glukhov,3965,3454,D,FRL*,5,100000,2,No,28.04.1995,?????????,Russia,Russia,0,0,13560,0,0,White,Not Tucked In,No,Yes,CCM,Sher-Wood Solid Gold,Bauer Vapor XXX
12,Damir,Musin,586,3785,D,FRL*,8,75000,1,No,05.10.1994,??????,Russia,Russia,0,0,13557,0,0,White,Not Tucked In,No,Yes,CCM,Easton Classic X,Mission
13,Danila,Palivko,2970,1509,D,FRL*,9,100000,0,Yes,30.11.2001,Novopolotsk,Belarus,Belarus,0,0,6277,0,0,Pale,Not Tucked In,No,Yes,CCM,Sher-Wood Solid Gold,Bauer Vapor XXX
14,Alexander,Ugolnikov,4646,3064,D,FRL*,13,400000,0,No,14.01.1989,????,Russia,Russia,0,0,10579,0,0,White,Back,No,Yes,Nike,Easton Synergy,Nike
15,Vladislav,Lysenko,4698,2166,D,FRL*,14,50000,0,No,12.03.1995,????,Russia,Russia,0,0,13635,0,0,Pale,Not Tucked In,No,Yes,Bauer,TPS (Louisville) Red-lite,Graf
16,Ruslan,Ibatullin,3189,766,D,FRL*,14,200000,0,Yes,30.06.1994,?????,Russia,Russia,0,0,1700,0,0,White,Not Tucked In,No,Yes,Jofa,Sher-Wood Solid Gold,Easton
17,Vojtech,Mozik,1601,3597,D,FRL*,27,400000,0,No,26.12.1992,?????,Czech Republic,Czech Republic,0,0,10480,0,0,White,Not Tucked In,No,Yes,CCM,Easton Classic X,Bauer Vapor XXX
18,Daniil,Kurashov,5078,2178,D,FRL*,28,100000,0,Yes,13.04.1998,??????,Russia,Russia,0,0,16134,0,0,Pale,Not Tucked In,No,Yes,Itech,CCM Vector V110,Nike
19,Karel,Kubat,1755,2866,D,FRL*,28,500000,0,No,13.06.1988,Usti nad Labem,Czech Republic,Czech Republic,0,0,9004,0,0,White,Not Tucked In,No,Yes,Itech,Easton Classic X,Bauer Vapor XXX
20,Ivan,Gavrilenko,902,2136,D,FRL*,43,200000,1,No,05.06.1992,????????????,Russia,Russia,0,0,14729,0,0,White,Not Tucked In,No,Yes,Bauer,Sher-Wood Solid Gold,Bauer Vapor XXX
21,Stanislav,Kalashnikov,2853,185,D,FRL*,47,200000,0,No,26.10.1991,????,Russia,Russia,0,0,14391,0,0,White,Back,No,Yes,Nike,Sher-Wood Solid Gold,CCM
22,Alexei,Rarov,2169,4847,D,FRL*,50,100000,0,Yes,26.08.1999,"",Russia,Russia,0,0,0,0,0,White,Not Tucked In,No,Yes,Nike,Easton Synergy,Bauer Vapor XXX
23,Daniil,Kolokoltsev,6025,5375,D,FRL*,65,0,0,No,01.01.2002,"",Russia,Russia,0,0,0,0,0,Pale,Not Tucked In,No,Yes,CCM,Sher-Wood Solid Gold,Bauer Vapor XXX
24,Roman,Tatalin,1786,3208,D,FRL*,65,200000,2,No,19.11.1992,???????????,Russia,Russia,0,0,14699,0,0,Pale,Not Tucked In,No,Yes,CCM,TPS (Louisville) Red-lite,CCM
25,Andrei,Yermakov,4256,2200,D,FRL*,67,300000,1,Yes,12.03.1994,??????,Russia,Russia,0,0,14769,0,0,White,Not Tucked In,No,Yes,CCM,Bauer Vapor XX,Graf
26,Ilya,Davydov,4363,4309,D,FRL*,70,100000,0,No,25.01.1989,?????????,Russia,Russia,0,0,13422,0,0,Pale,Not Tucked In,No,Yes,CCM,Sher-Wood Solid Gold,Bauer Vapor XXX
27,Sergei,Ilyin,294,396,D,FRL*,73,100000,1,No,29.04.1994,???????????,Russia,Russia,0,0,13950,0,0,Pale,Not Tucked In,No,Yes,Bauer,Bauer Vapor XX,Easton
28,Shaone,Morrisonn,1417,2137,D,FRL*,82,500000,0,No,23.12.1982,????????,British Columbia,Canada,2001,19,35,5703,5703,Pale,Not Tucked In,No,Yes,Nike,Easton Synergy,Graf
29,Renat,Mamashev,4990,3122,D,FRL*,83,400000,0,No,31.03.1983,??????,Russia,Russia,0,0,8436,11295,11295,White,Not Tucked In,No,Yes,Nike,TPS (Louisville) Red-lite,CCM
?Count,F. Name,L. Name,ID,Inst,Pos,Team,Num,Salary,Contract,Rookie,Birthdate,Birthplace,State,Citizenship,Draft Year,Draft Pos,Photo,Pbp,Def. Pbp,Skin,Tuck,Free4All,Visor,Helmet,Stick,Skates
1,Daniil,Zhuravlyov,1169,1901,D,ABK,2,100000,0,Yes,08.04.2000,?????? ????????,Russia,Russia,2018,146,1712,0,0,Pale,Not Tucked In,No,Yes,CCM,Easton Classic X,Bauer 8090
2,Dinar,Khafizullin,4303,3420,D,ABK,3,300000,1,No,01.05.1989,??????,Russia,Russia,0,0,14311,0,0,Pale,Not Tucked In,No,Yes,CCM,Easton Synergy,Bauer Vapor XXX
3,Kristian,Khenkel,5839,4210,D,ABK,18,400000,0,No,07.11.1995,?????,Belarus,Belarus,0,0,10946,0,0,White,Not Tucked In,No,Yes,CCM,Bauer Vapor XX,Bauer Vapor XXX
4,Vyacheslav,Voynov,1148,3135,D,ABK,28,900000,0,No,15.01.1990,?????????,Russia,Russia,2008,32,2725,2725,2725,Pale,Not Tucked In,No,Yes,Jofa,Bauer Vapor XX,Bauer Vapor XXX
5,Vasily,Tokranov,664,4466,D,ABK,42,500000,0,No,02.08.1989,???????????,Russia,Russia,0,0,14369,14369,14369,Pale,Right Side,No,Yes,Bauer,Bauer Vapor XX,Bauer Vapor XXX
6,Dmitry,Yudin,5196,3266,D,ABK,44,100000,1,No,31.07.1995,?????? ?????,Russia,Russia,0,0,16362,0,0,Pale,Not Tucked In,No,Yes,Bauer,Sher-Wood Solid Gold,Bauer Vapor XXX
7,Nikita,Yevseev,6328,5665,D,ABK,49,0,0,No,10.05.2004,"",Russia,Russia,0,0,0,0,0,Pale,Not Tucked In,No,Yes,CCM,Sher-Wood Solid Gold,Bauer Vapor XXX
8,Kirill,Adamchuk,846,1121,D,ABK,77,100000,0,No,24.05.1994,??????,Russia,Russia,0,0,13955,0,0,Pale,Not Tucked In,No,Yes,CCM,TPS (Louisville) Red-lite,Bauer 8090
9,Nikita,Lyamkin,4758,3942,D,ABK,96,300000,1,No,06.02.1996,Barnaul,Russia,Russia,0,0,15333,0,0,Pale,Not Tucked In,No,Yes,Nike,Sher-Wood Solid Gold,Easton
10,Mark,Yanchevsky,2307,1850,D,ABK,98,200000,1,Yes,30.06.1998,Magnitogorsk,Russia,Russia,0,0,10718,0,0,Pale,Not Tucked In,No,Yes,CCM,Sher-Wood Solid Gold,Bauer Vapor XXX
11,Nikolai,Averin,5212,1531,D,ABK*,0,100000,0,No,16.09.1996,?????????,Russia,Russia,0,0,16111,0,0,Pale,Not Tucked In,No,Yes,CCM,Bauer Vapor XX,Bauer Vapor XXX
12,Vladimir,Sychushkin,621,4604,D,ABK*,0,100000,0,Yes,23.05.1999,"",Russia,Russia,0,0,7065,0,0,Pale,Not Tucked In,No,Yes,Jofa,Bauer Vapor XX,Nike
13,Lev,Starikov,3443,64,D,ABK*,0,100000,1,Yes,17.09.2000,"",Russia,Russia,0,0,1691,0,0,White,Not Tucked In,No,Yes,Nike,Sher-Wood Solid Gold,Bauer Vapor XXX
14,Konstantin,Luchevnikov,1819,2990,D,ABK*,0,200000,1,Yes,12.07.1995,"",Russia,Russia,0,0,2242,0,0,White,Not Tucked In,No,Yes,Itech,Easton Synergy,CCM
15,Timur,Fatkullin,1352,4308,D,ABK*,53,100000,0,Yes,10.02.1997,?????????,Russia,Russia,0,0,10455,0,0,White,Not Tucked In,No,Yes,Nike,Bauer Vapor XX,Bauer 8090
16,Jason,Demers,4461,3061,D,ABK*,55,2200000,1,No,09.06.1988,Dorval,Quebec,Canada,2006,186,2481,0,0,Pale,Not Tucked In,No,Yes,CCM,CCM Vector V110,Graf
17,Dmitri,Muzhikov,6145,5482,D,ABK*,66,0,0,No,05.08.1998,Penza,Russia,Russia,0,0,0,0,0,Pale,Not Tucked In,No,Yes,CCM,Sher-Wood Solid Gold,Bauer Vapor XXX
18,Kamil,Fazylzyanov,2283,3130,D,ABK*,85,200000,0,Yes,31.10.1997,??????,Russia,Russia,0,0,11990,0,0,Pale,Not Tucked In,No,Yes,CCM,Easton Synergy,Bauer 8090
?Count,F. Name,L. Name,ID,Inst,Pos,Team,Num,Salary,Contract,Rookie,Birthdate,Birthplace,State,Citizenship,Draft Year,Draft Pos,Photo,Pbp,Def. Pbp,Skin,Tuck,Free4All,Visor,Helmet,Stick,Skates
1,Viktor,Baldayev,1683,3937,D,AMK,14,50000,2,No,14.06.1995,????????????,Russia,Russia,0,0,15344,0,0,Pale,Not Tucked In,No,Yes,CCM,Easton Classic X,Bauer Vapor XXX
2,Pavel,Turbin,2686,3868,D,AMK,34,200000,0,No,24.02.1990,????,Russia,Russia,0,0,10571,0,0,White,Not Tucked In,No,Yes,CCM,Sher-Wood Solid Gold,Mission
3,Evgeny,Kulik,2168,2250,D,AMK,44,400000,1,No,12.06.1993,??????,Russia,Russia,0,0,14618,0,0,Pale,Back,No,Yes,Itech,Bauer Vapor XX,Bauer Vapor XXX
4,Artyom,Alyayev,5029,1484,D,AMK,45,400000,1,Yes,17.01.1995,?????? ????????,Russia,Russia,0,0,13584,0,0,White,Not Tucked In,No,Yes,Itech,Sher-Wood Solid Gold,Easton
5,Michal,Jordan,5297,3578,D,AMK,47,550000,0,No,17.07.1990,Zlin,Czech Republic,Czech Republic,2008,105,12592,0,0,White,Not Tucked In,No,Yes,CCM,Sher-Wood Solid Gold,CCM
6,Sergei,Tereshchenko,1788,2239,D,AMK,52,400000,1,No,28.12.1991,????????????,Russia,Russia,0,0,14576,11468,11468,White,Not Tucked In,No,Yes,CCM,Bauer Vapor XX,Graf
